学号,证书名称,证书编号,获得日期,状态,审核人,审核意见
202300001,大学英语四级证书,7100464592,2024-11-28,待审核,,
202300001,全国计算机等级考试二级证书,617200000,2026-01-06,通过,李文静,材料齐全，同意认定
202300002,普通话水平测试二级甲等证书,373220504,2024-01-25,待审核,,
202300002,全国计算机等级考试二级证书,554611775,2024-04-11,待审核,,
202300003,大学英语四级证书,7100227295,2025-03-02,通过,李文静,材料齐全，同意认定
202300003,AutoCAD 机械设计工程师认证,CAD529864,2023-05-16,通过,李文静,佐证材料完整，予以通过
202300004,大学英语四级证书,7100403736,2026-06-17,通过,李文静,佐证材料完整，予以通过
202300004,普通话水平测试二级甲等证书,376240083,2026-01-19,通过,李文静,佐证材料完整，予以通过
202300005,AutoCAD 机械设计工程师认证,CAD480849,2026-04-22,通过,李文静,符合认定条件，通过
202300005,普通话水平测试二级甲等证书,374927773,2026-01-14,公示中,李文静,符合认定条件，通过
202300006,大学英语六级证书,6400541945,2026-06-07,通过,李文静,材料齐全，同意认定
202300006,全国计算机等级考试二级证书,594693518,2026-08-15,通过,李文静,佐证材料完整，予以通过
202300007,机动车驾驶证（C1）,3706116809,2023-03-02,通过,李文静,符合认定条件，通过
202300007,全国计算机等级考试二级证书,625133557,2026-07-21,公示中,李文静,佐证材料完整，予以通过
202300008,普通话水平测试二级甲等证书,377571906,2024-05-07,通过,李文静,材料齐全，同意认定
202300008,普通话水平测试二级甲等证书,376615229,2024-05-09,通过,李文静,材料齐全，同意认定
202300009,机动车驾驶证（C1）,3706569155,2025-11-26,通过,李文静,符合认定条件，通过
202300009,大学英语六级证书,6400737967,2025-04-18,通过,李文静,材料齐全，同意认定
202300010,大学英语六级证书,6400943800,2024-05-20,通过,李文静,材料齐全，同意认定
202300010,大学英语四级证书,7100963220,2026-01-08,待审核,,
202300011,AutoCAD 机械设计工程师认证,CAD282115,2026-02-24,待审核,,
202300011,普通话水平测试二级甲等证书,370340662,2025-07-22,通过,李文静,佐证材料完整，予以通过
202300012,大学英语六级证书,6400928766,2023-05-27,待审核,,
202300012,全国计算机等级考试二级证书,553700487,2024-01-22,通过,李文静,佐证材料完整，予以通过
202300013,大学英语六级证书,6400300780,2025-05-06,通过,李文静,材料齐全，同意认定
202300013,大学英语六级证书,6400314993,2026-03-24,通过,李文静,佐证材料完整，予以通过
202300014,机动车驾驶证（C1）,3706582535,2023-08-27,通过,李文静,材料齐全，同意认定
202300014,普通话水平测试二级甲等证书,375517053,2024-08-26,通过,李文静,材料齐全，同意认定
202300015,大学英语六级证书,6400458026,2023-04-22,通过,李文静,材料齐全，同意认定
202300015,机动车驾驶证（C1）,3706585387,2024-09-12,待审核,,
202300016,普通话水平测试二级甲等证书,374559543,2023-11-11,通过,李文静,符合认定条件，通过
202300016,AutoCAD 机械设计工程师认证,CAD808788,2024-11-18,通过,李文静,材料齐全，同意认定
202300017,大学英语四级证书,7100363463,2025-08-04,通过,李文静,材料齐全，同意认定
202300017,大学英语四级证书,7100234369,2024-03-17,公示中,李文静,佐证材料完整，予以通过
202300018,大学英语六级证书,6400420567,2025-05-10,待审核,,
202300018,机动车驾驶证（C1）,3706473133,2026-06-16,通过,李文静,符合认定条件，通过
202300019,全国计算机等级考试二级证书,616643604,2025-09-21,通过,李文静,符合认定条件，通过
202300019,机动车驾驶证（C1）,3706267811,2023-08-02,通过,李文静,佐证材料完整，予以通过
202300020,AutoCAD 机械设计工程师认证,CAD395864,2023-03-24,公示中,李文静,符合认定条件，通过
202300020,全国计算机等级考试二级证书,633269385,2024-08-22,通过,李文静,材料齐全，同意认定
202300021,机动车驾驶证（C1）,3706260957,2025-09-07,待审核,,
202300021,大学英语四级证书,7100448573,2024-12-20,通过,李文静,符合认定条件，通过
202300022,全国计算机等级考试二级证书,613201783,2026-01-27,通过,李文静,符合认定条件，通过
202300022,普通话水平测试二级甲等证书,373298051,2025-05-20,通过,李文静,符合认定条件，通过
202300023,机动车驾驶证（C1）,3706827385,2023-03-21,通过,李文静,符合认定条件，通过
202300023,全国计算机等级考试二级证书,578854904,2026-05-22,通过,李文静,符合认定条件，通过
202300024,普通话水平测试二级甲等证书,376942036,2026-05-28,待审核,,
202300024,AutoCAD 机械设计工程师认证,CAD125778,2024-10-26,待审核,,
202300025,大学英语四级证书,7100468688,2026-02-25,通过,李文静,材料齐全，同意认定
202300025,大学英语六级证书,6400414434,2024-11-10,通过,李文静,佐证材料完整，予以通过
202300026,大学英语六级证书,6400650131,2026-07-18,通过,李文静,佐证材料完整，予以通过
202300026,大学英语六级证书,6400511266,2026-05-10,通过,李文静,佐证材料完整，予以通过
202300027,大学英语四级证书,7100159406,2023-11-15,通过,李文静,佐证材料完整，予以通过
202300027,全国计算机等级考试二级证书,592708384,2025-09-12,通过,李文静,符合认定条件，通过
202300028,AutoCAD 机械设计工程师认证,CAD515280,2024-01-23,通过,李文静,佐证材料完整，予以通过
202300028,普通话水平测试二级甲等证书,374771508,2024-05-05,通过,李文静,符合认定条件，通过
202300029,大学英语六级证书,6400876919,2024-12-07,通过,李文静,材料齐全，同意认定
202300029,全国计算机等级考试二级证书,571422165,2025-12-08,通过,李文静,材料齐全，同意认定
202300030,大学英语四级证书,7100172980,2024-01-15,待审核,,
202300030,机动车驾驶证（C1）,3706467206,2023-12-26,待审核,,
202300031,普通话水平测试二级甲等证书,371254292,2026-05-22,通过,李文静,材料齐全，同意认定
202300031,AutoCAD 机械设计工程师认证,CAD462721,2024-09-27,通过,李文静,符合认定条件，通过
202300032,AutoCAD 机械设计工程师认证,CAD856764,2024-01-15,通过,李文静,符合认定条件，通过
202300032,大学英语六级证书,6400472341,2026-06-17,通过,李文静,佐证材料完整，予以通过
202300033,大学英语四级证书,7100548653,2024-03-04,通过,李文静,材料齐全，同意认定
202300033,AutoCAD 机械设计工程师认证,CAD336948,2023-05-28,通过,李文静,材料齐全，同意认定
