学号,姓名,性别,民族,政治面貌,出生日期,手机,邮箱,年级,学院,专业,班级,生源地,辅导员工号
202300001,黄鸿飞,男,汉族,共青团员,2005-02-12,17526793195,202300001@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,吉林长春,C0001
202300002,严梦洁,女,汉族,共青团员,2005-08-12,19383500389,202300002@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东济南,C0001
202300003,邱振宇,男,回族,共青团员,2005-03-11,13131193400,202300003@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东临沂,C0001
202300004,郝景行,男,回族,共青团员,2005-03-01,19662325880,202300004@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,黑龙江哈尔滨,C0001
202300005,白景行,男,汉族,共青团员,2005-04-28,18680315828,202300005@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,河南郑州,C0001
202300006,周天佑,男,汉族,共青团员,2005-04-22,19681914028,202300006@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东济宁,C0001
202300007,魏雨泽,男,壮族,预备党员,2005-07-15,17883527897,202300007@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东淄博,C0001
202300008,金家豪,男,汉族,共青团员,2005-07-22,13975603500,202300008@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东济宁,C0001
202300009,莫庆丰,男,汉族,群众,2005-07-06,18978132170,202300009@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,吉林长春,C0001
202300010,沈立群,男,蒙古族,共青团员,2005-11-05,19338267948,202300010@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东济南,C0001
202300011,薛泽楷,男,汉族,中共党员,2005-03-24,19772410104,202300011@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,黑龙江哈尔滨,C0001
202300012,宋俊杰,男,汉族,共青团员,2005-04-06,17749037386,202300012@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山西太原,C0001
202300013,谭芷若,女,汉族,共青团员,2005-05-02,13898345824,202300013@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东烟台,C0001
202300014,袁子轩,男,汉族,预备党员,2005-10-06,15911065063,202300014@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,黑龙江哈尔滨,C0001
202300015,覃悦宁,女,回族,中共党员,2005-07-13,15573908689,202300015@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东潍坊,C0001
202300016,郑志强,男,汉族,共青团员,2005-10-18,18696433801,202300016@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,安徽合肥,C0001
202300017,黎明哲,男,蒙古族,预备党员,2005-03-04,17118321450,202300017@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东济宁,C0001
202300018,雷家豪,男,汉族,共青团员,2005-10-03,19542487708,202300018@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东济南,C0001
202300019,田宗翰,男,回族,中共党员,2005-07-03,17791550303,202300019@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东青岛,C0001
202300020,肖沛东,男,汉族,群众,2005-09-05,13040187821,202300020@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,河南郑州,C0001
202300021,许静姝,女,朝鲜族,共青团员,2005-12-13,15013823016,202300021@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东烟台,C0001
202300022,高雅雯,女,汉族,共青团员,2005-02-12,19930470421,202300022@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东淄博,C0001
202300023,卢雨泽,男,回族,预备党员,2005-10-13,18666684101,202300023@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东潍坊,C0001
202300024,向思颖,女,蒙古族,共青团员,2005-05-19,13920486622,202300024@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,河北石家庄,C0001
202300025,汤采薇,女,汉族,群众,2005-10-16,13903030292,202300025@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,河北石家庄,C0001
202300026,钟嘉树,男,汉族,共青团员,2005-01-05,13175613824,202300026@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,河南郑州,C0001
202300027,武雨桐,女,汉族,预备党员,2005-05-13,17893788119,202300027@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山西太原,C0001
202300028,崔志强,男,朝鲜族,共青团员,2005-07-07,17456259015,202300028@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东烟台,C0001
202300029,龙俊杰,男,满族,群众,2005-02-28,15474566826,202300029@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东淄博,C0001
202300030,潘立群,男,满族,共青团员,2005-05-17,13586782328,202300030@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东青岛,C0001
202300031,沈振宇,男,汉族,共青团员,2005-06-08,18071452013,202300031@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东济宁,C0001
202300032,尹沛东,男,汉族,共青团员,2005-03-22,15718791234,202300032@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山西太原,C0001
202300033,丁启铭,男,汉族,预备党员,2005-07-23,17563285715,202300033@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,河北石家庄,C0001
202300034,覃向阳,男,满族,共青团员,2005-06-20,19466800744,202300034@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2301班,山东烟台,C0001
202300035,邓景行,男,蒙古族,预备党员,2005-07-13,17783101771,202300035@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东淄博,C0001
202300036,田承宇,男,汉族,预备党员,2005-11-03,18469444832,202300036@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东济宁,C0001
202300037,莫家豪,男,壮族,群众,2005-05-22,13558018545,202300037@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东淄博,C0001
202300038,罗语嫣,女,汉族,共青团员,2005-09-21,17582530966,202300038@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,吉林长春,C0001
